	place	name	text	relation	xml	date
52	pl__wien-immo_hoher_markt_3	Johann Payr, des schuster, Haus	seim	pe__johann_payr_schuster_QGW_II_II_3263	00612-eintrag_vom_1448-07-10.xml	1448-07-10
53	pl__wien-immo_kohlmarkt_1	Johann und Barbara Unverdrossen (halbes) Haus (mit Zugehorung), vormals Jakob von Brünn des schneider Haus	irm	pe__johann_unverdrossen_SB_CD_00613	00613-eintrag_vom_1448-07-17.xml	1448-07-17
54	pl__wien-immo_kohlmarkt_1	Johann und Barbara Unverdrossen (halbes) Haus (mit Zugehorung), vormals Jakob von Brünn des schneider Haus	irm	pe__barbara_SB_CD_00613	00613-eintrag_vom_1448-07-17.xml	1448-07-17
55	pl__wien-immo_kohlmarkt_4	Niklas Vorstl, der wundarzt, Haus	maister	pe__niklas_vorstl_QGW_II_II_3265	00613-eintrag_vom_1448-07-17.xml	1448-07-17
56	pl__wien-immo_peurertor_1	Ulrich Pernauer des gurtler Haus	Ulreichs Pernawer	pe__ulrich_pernauer_SB_CD_00613	00613-eintrag_vom_1448-07-17.xml	1448-07-17
57	pl__wien-immo_salzgries_1	Johann Würer Haus	sein	pe__johann_wuerer_QGW_II_II_2993	00614-eintrag_vom_1448-07-29.xml	1448-07-29
58	pl__wien-immo_salzgries_2	Liebhard Weiss Haus	Liepharts Weissen	pe__liebhard_weiss_SB_CD_00606	00614-eintrag_vom_1448-07-29.xml	1448-07-29
59	pl__wien-immo_pippingerstrasse_1	Johann und Agnes Hinlauf Haus	irm	pe__johann_hinlauf_SB_CD_00616	00616-eintrag_vom_1448-07-19.xml	1448-07-19
60	pl__wien-immo_pippingerstrasse_1	Johann und Agnes Hinlauf Haus	irm	pe__agnes_SB_CD_00616	00616-eintrag_vom_1448-07-19.xml	1448-07-19
61	pl__wien-immo_pippingerstrasse_2	Georg von Ror, der fleischacker, Haus	hern	pe__georg_vom_ror_QGW_II_II_3714	00616-eintrag_vom_1448-07-19.xml	1448-07-19
62	pl__wien-immo_kohlmarkt_2	Johann Schuchl des goldschmieds Haus	sein	pe__johann_schuchl_SB_CD_00617	00617-eintrag_vom_1448-08-26.xml	1448-08-26
63	pl__wien-immo_kohlmarkt_5	Ulrich Fochter Haus	Ulreichs Vochter	pe__ulrich_fochter_QGW_II_II_3228	00617-eintrag_vom_1448-08-26.xml	1448-08-26
64	pl__wien-immo_kohlmarkt_6	Heinrich und Margarethe Eschlbach Haus	irm	pe__heinrich_eschlbach_SB_CD_00618	00618-eintrag_vom_1448-09-02.xml	1448-09-02
65	pl__wien-immo_kohlmarkt_6	Heinrich und Margarethe Eschlbach Haus	irm	pe__margarethe_SB_CD_00618	00618-eintrag_vom_1448-09-02.xml	1448-09-02
66	pl__wien-immo_geraeut_vor_stubentor_1	Fridreichs kochs haus und hofstat weingarten	Fridreichs	pe__friedrich_koch_SB_CD_00618	00618-eintrag_vom_1448-09-02.xml	1448-09-02
67	pl__wien-immo_kohlmarkt_6	Heinrich und Margarethe Eschlbach Haus	irm	pe__heinrich_eschlbach_SB_CD_00618	00619-eintrag_vom_1448-09-04.xml	1448-09-04
68	pl__wien-immo_kohlmarkt_6	Heinrich und Margarethe Eschlbach Haus	irm	pe__margarethe_SB_CD_00618	00619-eintrag_vom_1448-09-04.xml	1448-09-04
69	pl__wien-immo_kohlmarkt_8	Johann Unverdrossen, der plattner, Haus	Hannsen Unverdrossen des	pe__johann_unverdrossen_SB_CD_00619	00619-eintrag_vom_1448-09-04.xml	1448-09-04
70	pl__wien-immo_kaerntnertor_1	Johann Kieler Haus	sein	pe__johann_kieler_SB_CD_00620	00620-eintrag_vom_1448-11-20.xml	1448-11-20
71	pl__wien-immo_kaerntnertor_2	Ulrich Floederl, der schlosser, Haus	Ulreichs Floderl	pe__ulrich_floederl_QGW_II_II_3238	00620-eintrag_vom_1448-11-20.xml	1448-11-20
72	pl__wien-immo_haarmarkt_2	Johann Hermann Haus	sein	pe__johann_hermann_SB_CD_00621	00621-eintrag_vom_1448-11-27.xml	1448-11-27
73	pl__wien-immo_haarmarkt_3	Georg von Nikolsburg Haus	Jorgen von Nicolspurg	pe__georg_von_nikolsburg_QGW_II_II_2373	00621-eintrag_vom_1448-11-27.xml	1448-11-27
74	pl__wien-immo_singerstrasse_1	Johann Züchtig Haus	sein	pe__johann_zuchtig_SB_CD_00622	00622-eintrag_vom_1448-12-09.xml	1448-12-09
75	pl__wien-immo_singerstrasse_1	Johann Züchtig Haus	Jacoben des Rechwein	pe__jakob_rechwein_QGW_II_II_3242	00622-eintrag_vom_1448-12-09.xml	1448-12-09
76	pl__wien-immo_teinfaltstrasse_1	Johann Frey, der parhander, Haus	seim	pe__johann_frey_SB_CD_00623	00623-eintrag_vom_1448-12-13.xml	1448-12-13
77	pl__wien-immo_teinfaltstrasse_2	Johann Höphl haus	Hannsen Höphl	pe__johann_hoephl_SB_CD_00618	00623-eintrag_vom_1448-12-13.xml	1448-12-13
78	pl__wien-immo_strauchgasse_1	Johann Weilhaimer Haus	seim	NONE	00624-eintrag_vom_1448-09-23.xml	1448-09-23
79	pl__wien-immo_hochstrasse_1	Johann Stremphl und Stephan Sorgenfrey, der huter, Haus	Hannsen Stremphl	pe__johann_strempfl_QGW_II_II_3276	00624-eintrag_vom_1448-09-23.xml	1448-09-23
80	pl__wien-immo_hochstrasse_1	Johann Stremphl und Stephan Sorgenfrey, der huter, Haus	Steffans Sorgenfrey des	pe__stephan_sorgenfrey_SB_CD_00624	00624-eintrag_vom_1448-09-23.xml	1448-09-23
81	pl__wien-immo_haarmarkt_2	Johann Hermann Haus	seins	pe__johann_hermann_SB_CD_00621	00625-eintrag_vom_1448-12-11.xml	1448-12-11
82	pl__wien-immo_haarmarkt_3	Georg von Nikolsburg Haus	Jörgen von Nicolspurg	pe__georg_von_nikolsburg_QGW_II_II_2373	00625-eintrag_vom_1448-12-11.xml	1448-12-11
83	pl__wien-immo_strauchgasse_1	Johann Weilhaimer Haus	seim	pe__johann_weilhaimer_SB_CD_00626	00626-eintrag_vom_1448-12-20.xml	1448-12-20
84	pl__wien-immo_strauchgasse_2	Heinrich Maler Haus	Hainreichs Maler	pe__heinrich_maler_SB_CD_00626	00626-eintrag_vom_1448-12-20.xml	1448-12-20
85	pl__wien-immo_walichstrasse_3	Lorenz Swarcz Haus	Larenczen Swarcz	pe__lorenz_swarcz_SB_CD_00626	00626-eintrag_vom_1448-12-20.xml	1448-12-20
86	pl__wien-immo_gottesacker_vor_kaertnertor_1	Heinrich Wurm, der pekch, Haus	sein	pe__heinrich_wurm_SB_CD_00627	00627-eintrag_vom_1448-12-20.xml	1448-12-20
87	pl__wien-immo_siebenherbergen_vor_kaertnertor_1	Georg Krumpp, der binder, Haus und Garten daran	sein	pe__georg_krumpp_SB_CD_00966	00966-eintrag_vom_1448-06-07.xml	1448-06-07
88	pl__wien-immo_kaerntnerstrasse_2	Jakob Straiffing und Peter Obrcht, weilent Erhard Neunkirchner, Haus	ir	pe__jakob_straiffing_QGW_II_III_2360	00968-eintrag_vom_1448-07-10.xml	1448-07-10
89	pl__wien-immo_kaerntnerstrasse_2	Jakob Straiffing und Peter Obrcht, weilent Erhard Neunkirchner, Haus	ir	pe__peter_obrecht_QGW_II_III_2464	00968-eintrag_vom_1448-07-10.xml	1448-07-10
90	pl__wien-immo_kaerntnerstrasse_2	Jakob Straiffing und Peter Obrcht, weilent Erhard Neunkirchner, Haus	weilend	pe__erhard_neunkircher_QGW_II_II_3274	00968-eintrag_vom_1448-07-10.xml	1448-07-10
91	pl__wien-immo_kaerntnerstrasse_3	Heinrich Stoll Haus	Hainrich Stolln des	pe__heinrich_stoll_SB_CD_00968	00968-eintrag_vom_1448-07-10.xml	1448-07-10
92	pl__wien-immo_st_pankraz_3	Georg und Elisabeth Zwettler Haus	irm	pe__georg_zwettler_QGW_II_II_2927	00969-eintrag_vom_1448-10-30.xml	1448-10-30
93	pl__wien-immo_st_pankraz_3	Georg und Elisabeth Zwettler Haus	irm	pe__elisabeth_SB_CD_00969	00969-eintrag_vom_1448-10-30.xml	1448-10-30
94	pl__wien-immo_st_pankraz_4	Michael Hiltprant, der schmied, Haus	Hiltprants des	pe__michael_hiltprant_QGW_II_II_2417	00969-eintrag_vom_1448-10-30.xml	1448-10-30
95	pl__wien-immo_steig_bei_den_predigern_1	Jakob Schutwempl, der fasszieher, Haus	seim	pe__jakob_schutwempl_SB_CD_00970	00970-eintrag_vom_1448-11-20.xml	1448-11-20
96	pl__wien-immo_steig_bei_den_predigern_2	Peter von Asparn Haus	hern	pe__peter_von_aspern_SB_CD_00970	00970-eintrag_vom_1448-11-20.xml	1448-11-20
97	pl__wien-immo_anger_1	Jorg und Jacob, gepruder die Münich, Haus	irm	pe__jakob_muenich_QGW_II_II_3410	00971-eintrag_vom_1448-12-16.xml	1448-12-16
98	pl__wien-immo_anger_1	Jorg und Jacob, gepruder die Münich, Haus	irm	pe__georg_muenich_QGW_II_II_3410	00971-eintrag_vom_1448-12-16.xml	1448-12-16
99	pl__wien-immo_steig_bei_den_predigern_3	Peter von Nussdorf, der schneider, Haus	Petern von Nusdorf des	pe__peter_von_nussdorf_QGW_II_II_2963	00971-eintrag_vom_1448-12-16.xml	1448-12-16
100	pl__wien-immo_weihenburg_5	Kunigund, Hannsen des Hagen seligen witib, haus	ir	pe__kunigunde_QGW_II_III_4053	01099-eintrag_vom_1448-02-20.xml	1448-02-20
101	pl__wien-immo_weihenburg_3	Elspeth die Kolpekchin haws	der Kolpekchin	pe__elisabeth_kolpekchin_SB_CD_00350	01099-eintrag_vom_1448-02-20.xml	1448-02-20
102	pl__wien-immo_hoher_markt_6	Kathrey, Wentzlaben Grat des schuster hausfrau, halbs haus	ir	pe__katharina_SB_CD_01100	01100-eintrag_vom_1448-04-29.xml	1448-04-29
103	pl__wien-immo_hoher_markt_5	Niklas Sawr des schuster haus	Niclasen Sawr	pe__niklas_saur_SB_CD_01100	01100-eintrag_vom_1448-04-29.xml	1448-04-29
104	pl__wien-immo_baeckerstrasse_hintere_1	Leonhard Grünpacher Haus	seins	pe__leonhard_gruenpacher_QGW_II_II_2953	01146-eintrag_vom_1448-04-12.xml	1448-04-12
105	pl__wien-immo_walichstrasse_1	Lorenz Krakauer Haus	seim	pe__lorenz_krakauer_SB_CD_01147	01147-eintrag_vom_1448-04-29.xml	1448-04-29
106	pl__wien-immo_walichstrasse_2	Johann Peinhekchl des brunner Haus	Hannsen Painhékchl des	pe__johann_peinhekchel_QGW_II_II_3111	01147-eintrag_vom_1448-04-29.xml	1448-04-29
107	pl__wien-immo_kienmarkt_5	Leonhard Kriech Haus	sein	pe__leonhard_kriech_QGW_II_II_3126	01148-eintrag_vom_1448-05-17.xml	1448-05-17
108	pl__wien-immo_kienmarkt_6	Martin, der wachsgiesser, Haus	Martine des	pe__martin_wachsgiesser_QGW_II_I_1494	01148-eintrag_vom_1448-05-17.xml	1448-05-17
109	pl__wien-immo_walichstrasse_3	Lorenz Swarcz Haus	ir	pe__lorenz_swarcz_SB_CD_00626	01149-eintrag_vom_1448-09-02.xml	1448-09-02
110	pl__wien-immo_walichstrasse_3	Lorenz Swarcz Haus	ir	pe__katharina_SB_CD_01149	01149-eintrag_vom_1448-09-02.xml	1448-09-02
111	pl__wien-immo_kienmarkt_7	Fridreichen von Minden, der kursner, Haus	seins	pe__friedrich_von_minden_SB_CD_01150	01150-eintrag_vom_1448-03-04.xml	1448-03-04
112	pl__wien-immo_kienmarkt_1	Michael Viregk Haus	sein	pe__michael_viregk_SB_CD_01239	01239-eintrag_vom_1448-03-13.xml	1448-03-13
113	pl__wien-immo_kienmarkt_2	Lorenz Swancz Haus	Larenczen des Swancz	pe__lorenz_swancz_QGW_II_II_2627	01239-eintrag_vom_1448-03-13.xml	1448-03-13
114	pl__wien-immo_hoher_markt_7	Matthias Vogpurger haus, genant des Silbrein Hensleins Haus	sein	pe__matthias_voburger_SB_CD_01240	01240-eintrag_vom_1448-03-15.xml	1448-03-15
115	pl__wien-immo_weihenburg_3	Elspeth die Kolpekchin haws	ir	pe__elisabeth_kolpekchin_SB_CD_00350	00350-eintrag_vom_1448-04-10.xml	1448-04-10
116	pl__wien-immo_weihenburg_4	Ulrich Feldsberger Haus	Ulreichs Velczperger	pe__ulrich_feldsberger_SB_CD_00350	00350-eintrag_vom_1448-04-10.xml	1448-04-10
117	pl__wien-immo_kienmarkt_3	Margarethe und Johann Hölczel Haus	ir	pe__margarethe_SB_CD_00615	00615-eintrag_vom_1448-06-26.xml	1448-06-26
118	pl__wien-immo_kienmarkt_3	Margarethe und Johann Hölczel Haus	ir	pe__johann_hoelczel_SB_CD_00615	00615-eintrag_vom_1448-06-26.xml	1448-06-26
119	pl__wien-immo_st_johannsstrasse_3	Jakob Kreuss halbs haus, das ettwan ain ramhof gewesen ist	sein	pe__jakob_kreuss_SB_CD_00967	00967-eintrag_vom_1448-06-19.xml	1448-06-19
120	pl__wien-immo_st_johannsstrasse_4	Michael des Münzer Haus	Micheln des Munsser	pe__michael_muenzer_SB_CD_00967	00967-eintrag_vom_1448-06-19.xml	1448-06-19
121	pl__wien-immo_riemerstrasse_1	Michael und Dorothea Toller Ramhof	írm	pe__dorothea_SB_CD_01241	01241-eintrag_vom_1448-06-21.xml	1448-06-21
122	pl__wien-immo_riemerstrasse_1	Michael und Dorothea Toller Ramhof	írm	pe__michael_toller_SB_CD_01241	01241-eintrag_vom_1448-06-21.xml	1448-06-21
123	pl__wien-immo_riemerstrasse_1	Michael und Dorothea Toller Ramhof	Meinharts Riemer	pe__meinhard_riemer_QGW_II_II_2391	01241-eintrag_vom_1448-06-21.xml	1448-06-21
124	pl__wien-immo_riemerstrasse_2	Simon Vankch Haus	Symons Vankchen	pe__simon_vankch_QGW_II_II_2391	01241-eintrag_vom_1448-06-21.xml	1448-06-21
125	pl__wien-immo_weidenstrasse_3	Michael und Katharina Haffner Haus	ir	pe__katharina_SB_CD_01242	01242-eintrag_vom_1448-11-15.xml	1448-11-15
126	pl__wien-immo_weidenstrasse_3	Michael und Katharina Haffner Haus	ir	pe__michael_haffner_SB_CD_01242	01242-eintrag_vom_1448-11-15.xml	1448-11-15
127	pl__wien-immo_weidenstrasse_4	Albrecht Ladner Haus	Alberts des	pe__albrecht_ladner_SB_CD_01242	01242-eintrag_vom_1448-11-15.xml	1448-11-15
128	pl__wien-immo_riemerstrasse_4	Meinhard Riemer Haus	seins	pe__michael_praunsperger_QGW_II_II_3274	01243-eintrag_vom_1448-09-13.xml	1448-09-13
129	pl__wien-immo_riemerstrasse_1	Michael und Dorothea Toller Ramhof	Meinharts des Riemer	pe__meinhard_riemer_QGW_II_II_2391	01243-eintrag_vom_1448-09-13.xml	1448-09-13
130	pl__wien-immo_riemerstrasse_2	Simon Vankch Haus	Symons Vankchen	pe__simon_vankch_QGW_II_II_2391	01243-eintrag_vom_1448-09-13.xml	1448-09-13
131	pl__wien-immo_riemerstrasse_3	Johann Winter, der kramer, Haus	Hannsen Winter des	pe__johann_winter_QGW_II_II_3192	01243-eintrag_vom_1448-09-13.xml	1448-09-13
132	pl__wien-immo_st_johannsstrasse_5	Niklas und Elsbeth Salczburger Haus	ir	pe__elisabeth_QGW_II_II_3676	01429-eintrag_vom_1448-02-20.xml	1448-02-20
133	pl__wien-immo_st_johannsstrasse_5	Niklas und Elsbeth Salczburger Haus	ir	pe__niklas_salczburger_QGW_II_II_3676	01429-eintrag_vom_1448-02-20.xml	1448-02-20
134	pl__wien-immo_st_johannsstrasse_6	Gilg Kunter Haus	Giligen des	pe__gilg_kunter_QGW_II_II_3676	01429-eintrag_vom_1448-02-20.xml	1448-02-20
135	pl__wien-immo_alserstrasse_vor_schottentor_6	Niklas und Dorothea Piberstein Haus	ir	pe__niklas_piberstein_SB_CD_01430	01430-eintrag_vom_1448-03-04.xml	1448-03-04
136	pl__wien-immo_alserstrasse_vor_schottentor_6	Niklas und Dorothea Piberstein Haus	ir	pe__dorothea_SB_CD_01430	01430-eintrag_vom_1448-03-04.xml	1448-03-04
137	pl__wien-immo_alserstrasse_vor_schottentor_1	Johann Auer Haus	Hannsen Awer	pe__johann_auer_SB_CD_00604	01430-eintrag_vom_1448-03-04.xml	1448-03-04
138	pl__wien-immo_goldschmiedgasse_1	Niklas Lainbacher, der apotheker, Haus	sein	pe__niklas_lainbacher_QGW_II_II_2652	01431-eintrag_vom_1448-07-08.xml	1448-07-08
139	pl__wien-immo_goldschmiedgasse_2	Stephan Pusenperger, der zinngiesser, Haus	Steffans Pusenperger	pe__stephan_pusenperger_QGW_II_II_3715	01431-eintrag_vom_1448-07-08.xml	1448-07-08
140	pl__wien-immo_kaerntnerstrasse_1	Friedrich Pierpaumer halbes Haus	Fridreichs Pirpawmer	pe__friedrich_pirbaumer_QGW_II_III_4165	01431-eintrag_vom_1448-07-08.xml	1448-07-08
141	pl__wien-immo_goldschmiedgasse_1	Niklas Lainbacher, der apotheker, Haus	seim	pe__niklas_lainbacher_QGW_II_II_2652	01432-eintrag_vom_1448-07-10.xml	1448-07-10
142	pl__wien-immo_goldschmiedgasse_2	Stephan Pusenperger, der zinngiesser, Haus	Steffans Pusenperger	pe__stephan_pusenperger_QGW_II_II_3715	01432-eintrag_vom_1448-07-10.xml	1448-07-10
143	pl__wien-immo_kaerntnerstrasse_1	Friedrich Pierpaumer halbes Haus	Fridreichs Pirpawmer	pe__friedrich_pirbaumer_QGW_II_III_4165	01432-eintrag_vom_1448-07-10.xml	1448-07-10
144	pl__wien-immo_schenkenstrasse_1	Niklas und Katharina Vaschang Haus	ir	pe__niklas_vaschang_SB_CD_01433	01433-eintrag_vom_1448-07-29.xml	1448-07-29
145	pl__wien-immo_schenkenstrasse_1	Niklas und Katharina Vaschang Haus	ir	pe__katharina_SB_CD_01433	01433-eintrag_vom_1448-07-29.xml	1448-07-29
